split,seed,amplitude,stiffness,phase,x0,v0,random_check_seed,policy,drift_coefficient,fixed_k,n_steps,physical_duration,n_reference,n_initial_reference,n_forced_reference,n_random_reference,n_unreferenced,n_start_violations,n_interval_violations,n_envelope_counterexamples,n_eligible,n_eligible_start_violations,n_random_start_violations,n_full_corrections,n_measurement_force_calls,reference_fraction,unreferenced_physical_duration,interval_violation_rate,start_violation_rate,maximum_unreferenced_streak,maximum_unreferenced_streak_time,maximum_unreferenced_force_error,maximum_positive_envelope_excess,initial_error_min,initial_error_mean,initial_error_max,margin_min,margin_mean,margin_max,trust_time_min,trust_time_median,trust_time_max,squared_position_error_sum,squared_velocity_error_sum,position_rmse,velocity_rmse,final_relative_energy_change,maximum_absolute_relative_energy_change
calibration,2026090500,0.6,1.1,4.053481846236735,-0.367351878283392,0.4975518639034833,2036090500,class_horizon,0.2,,2000,20.0,85,1,40,44,1915,0,0,0,1959,0,0,0,6006,0.0425,19.150000000000002,0.0,0.0,36,0.36,0.027207079064513418,0.0,4.301663275696477e-05,0.0026739663066906293,0.007347037565667847,0.042652962434332156,0.04732603369330937,0.04995698336724304,0.29341288934394466,0.3287768250905792,0.38836341230509597,5.854532864507579,7.0608207444281685,0.05410421824824558,0.0594172565187428,0.47972279731152945,0.47972279731152945
calibration,2026090501,0.8,1.1,5.04538877841897,0.26150360168383807,0.792954887075563,2036090501,class_horizon,0.2,,2000,20.0,98,1,60,37,1902,0,0,0,1939,0,0,0,6007,0.049,19.02,0.0,0.0,27,0.27,0.027288444429214798,0.0,8.37278899032956e-05,0.0028951332021652358,0.005457688885842915,0.04454231111415709,0.047104866797834766,0.04991627211009671,0.2293607337431287,0.25376292566960784,0.28201855358312544,6.3287326929758025,6.025799639630875,0.05625270079283217,0.054889888138121005,0.35082913989382075,0.35082913989382075
calibration,2026090502,1.2,1.1,2.4727914833765823,-0.9414786707395002,-0.780371516520716,2036090502,class_horizon,0.2,,2000,20.0,139,1,101,37,1861,0,0,0,1898,0,0,0,6007,0.0695,18.61,0.0,0.0,17,0.17,0.027343780023250996,0.0,5.0514078390628825e-05,0.0031230591669459506,0.01882957341479008,0.031170426585209923,0.046876940833054055,0.049949485921609374,0.12159424807110918,0.17149797621426338,0.18860097304589477,6.957468601595236,7.234819712517064,0.05898079603394327,0.060144907151466545,0.24896929720151098,0.24896929720151098
calibration,2026090503,1.6,1.1,2.650936310620865,-1.4112380425459952,-0.7907261890174391,2036090503,class_horizon,0.2,,2000,20.0,182,1,141,40,1818,0,0,0,1858,0,0,0,6007,0.091,18.18,0.0,0.0,13,0.13,0.03269200950114648,0.0,2.6438034513631692e-05,0.0031919708210742755,0.02822476085091985,0.021775239149080153,0.04680802917892573,0.04997356196548637,0.06340907105758206,0.13018987233629115,0.14251086914507008,6.7993783792625075,7.534581479481627,0.058306853710616675,0.06137825950400364,0.1885201626564072,0.1885201626564072
calibration,2026090504,0.6,1.1,4.021462149733099,-0.3823510339012516,0.4849623238583678,2036090504,class_horizon,0.2,,2000,20.0,80,1,45,34,1920,0,0,0,1954,0,0,0,6006,0.04,19.2,0.0,0.0,37,0.37,0.027125021698222493,0.0,4.436987326650321e-05,0.0028439398483351966,0.007647020678025029,0.04235297932197497,0.047156060151664805,0.0499556301267335,0.2890911793533379,0.33193212870836597,0.3806939997496922,6.008993322333593,7.2131564511819075,0.05481328909276286,0.06005479352716945,0.514903586417948,0.514903586417948
calibration,2026090505,0.8,1.1,4.096351912534214,-0.46224420908339336,0.6848089662714377,2036090505,class_horizon,0.2,,2000,20.0,104,1,60,43,1896,0,0,0,1939,0,0,0,6006,0.052,18.96,0.0,0.0,27,0.27,0.02715198772908657,0.0,7.09161056484664e-05,0.0028671485667312647,0.009244884181667856,0.04075511581833215,0.04713285143326874,0.049929083894351536,0.2282996131782832,0.25379468862942045,0.28587215237322733,6.014649028757269,7.013169007123443,0.05483907835092266,0.059216420894560334,0.3671376081158527,0.3671376081158527
calibration,2026090506,1.2,1.1,2.5575656353258953,-1.0010987652973207,-0.6939606533026194,2036090506,class_horizon,0.2,,2000,20.0,137,1,103,33,1863,0,0,0,1896,0,0,0,6007,0.0685,18.63,0.0,0.0,17,0.17,0.02748292608640024,0.0,6.419647640365511e-05,0.0031695873825836576,0.020021975305946516,0.029978024694053487,0.04683041261741634,0.04993580352359635,0.11667000101102058,0.17206639669841142,0.1888389485113148,6.475741608838642,6.880272868833466,0.05690229173257718,0.05865267627667754,0.24451585703106082,0.24451585703106082
calibration,2026090507,1.6,1.1,2.109674254992091,-0.821077211949619,-1.4402831087042385,2036090507,class_horizon,0.2,,2000,20.0,188,1,137,50,1812,0,0,0,1862,0,0,0,6007,0.094,18.12,0.0,0.0,13,0.13,0.029007703044457323,0.0,1.739552924218124e-05,0.0029834898003841116,0.016421544238992447,0.033578455761007556,0.04701651019961589,0.04998260447075782,0.09926351540031333,0.1307425077095302,0.14153041713154596,7.013736188065785,6.831274129491204,0.059218815371745594,0.05844345185515313,0.1785258529669138,0.1785258529669138
heldout,2026090600,0.65,1.18,1.4189990374338657,0.09828974863148432,-0.6979614372373822,2036090600,class_horizon,0.2,,2000,20.0,95,1,57,37,1905,0,0,0,1942,0,0,0,6007,0.0475,19.05,0.0,0.0,32,0.32,0.04539566037986406,0.0,0.0001165978211274954,0.004870343664834862,0.009079132075972815,0.04092086792402719,0.04512965633516514,0.04988340217887251,0.2206789001173467,0.26017755816954474,0.33912449471028394,18.047375995272297,18.75851906646692,0.09499309447342026,0.09684657729230012,0.7919737135698919,0.7919737135698919
heldout,2026090600,0.65,1.18,1.4189990374338657,0.09828974863148432,-0.6979614372373822,2036090600,empirical_horizon,0.10000000000000009,,2000,20.0,65,1,25,39,1935,255,277,1106,1974,261,6,0,6007,0.0325,19.35,0.14315245478036176,0.13178294573643412,59,0.59,0.0819969257624773,0.03255252395739644,9.662647047381512e-06,0.007394030255289033,0.016399385152495477,0.033600614847504526,0.04260596974471097,0.04999033735295262,0.31841821620014793,0.44731891568267035,0.6782489894205673,48.69832945752236,49.80811082105679,0.15604218893863667,0.15781018791741044,1.398090422842571,1.398090422842571
heldout,2026090600,0.65,1.18,1.4189990374338657,0.09828974863148432,-0.6979614372373822,2036090600,fixed_streak,0.2,18,2000,20.0,125,1,85,39,1875,0,0,0,1914,0,0,0,6007,0.0625,18.75,0.0,0.0,18,0.18,0.03622413075955411,0.0,7.593781393100407e-05,0.003549053983401594,0.007244826151910827,0.042755173848089176,0.04645094601659841,0.049924062186069,0.24418364061948983,0.2822485386088155,0.33912449471028394,9.35741920389649,9.726040803189527,0.06840109357275105,0.06973535976529241,0.5570967335631454,0.5570967335631454
heldout,2026090601,0.9,1.18,5.672472927536393,0.7373157397053708,0.5606347206333301,2036090601,class_horizon,0.2,,2000,20.0,130,1,83,46,1870,0,0,0,1916,0,0,0,6007,0.065,18.7,0.0,0.0,22,0.22,0.045594755659182966,0.0,2.2769800771316184e-05,0.005027745593019063,0.026543366629393272,0.02345663337060673,0.04497225440698094,0.04997723019922869,0.11579970207363295,0.19562799057598407,0.23442712524127743,15.016454091268665,20.203998242652567,0.08665002622985368,0.10050870171943463,0.561519625320608,0.561519625320608
