split,policy,seed,H0,n_intervals,n_reference_updates,W,W_over_H0,delta_H,original_final_relative_energy_change,jump_sum,jump_sum_over_H0,boundary_term,boundary_over_H0,telescope_error,work_energy_error,max_interval_work_energy_error,max_stored_relative_energy_error,positive_net_interval_fraction,net_over_sum_absolute_interval_work,unreferenced_work_over_H0,reference_assisted_work_over_H0,updates_with_positive_post_power,updates_with_negative_post_power,max_nonfull_power_contraction_error
calibration,class_horizon,2026090500,0.19800000000000004,2000,85,0.0949851138676999,0.47972279731161555,0.09498511386768285,0.47972279731152945,0.11515870569332627,0.581609624713769,-0.02017359182562637,-0.10188682740215337,-1.3877787807814457e-17,1.7041923427996153e-14,1.594048244096813e-16,0.0,0.936,0.9927500911068062,0.47338386065095583,0.00633893666065981,80,5,3.447762908503904e-17
calibration,class_horizon,2026090501,0.35200000000000015,2000,98,0.1234918572426484,0.35082913989388737,0.12349185724262496,0.35082913989382075,0.14311087149446952,0.406564975836561,-0.01961901425182111,-0.05573583594267358,-2.7755575615628914e-17,2.3439583607398617e-14,2.652026276535324e-16,0.0,0.953,0.9992680857254455,0.3446345967669815,0.006194543126905535,93,5,5.2909066017292616e-17
calibration,class_horizon,2026090502,0.792,2000,139,0.19718368338364897,0.24896929720157698,0.1971836833835967,0.24896929720151098,0.17438438967019934,0.22018231018964562,0.022799293713449652,0.028786987011931376,-2.7755575615628914e-17,5.2263748884229244e-14,5.951727825859177e-16,0.0,0.9705,0.9998323638936266,0.242660042236352,0.006309254965224781,136,3,1.235990476633475e-16
calibration,class_horizon,2026090503,1.4080000000000001,2000,182,0.26543638902032546,0.18852016265648114,0.2654363890202214,0.1885201626564072,0.20470612709760397,0.1453878743590937,0.060730261922721504,0.043132288297387425,-2.7755575615628914e-17,1.0408340855860843e-13,7.793516266368927e-16,0.0,0.977,0.9998860520625148,0.1820691749956261,0.006450987660854815,175,7,1.8127860323957634e-16
calibration,class_horizon,2026090504,0.19800000000000004,2000,80,0.10195091011076708,0.5149035864180155,0.10195091011075372,0.514903586417948,0.11685021538766992,0.5901526029680297,-0.014899305276902846,-0.07524901655001436,1.3877787807814457e-17,1.3364309658925322e-14,1.7233393531657093e-16,0.0,0.9435,0.993191355499888,0.5085356934914492,0.006367892926565189,76,4,2.862293735361732e-17
calibration,class_horizon,2026090505,0.3520000000000001,2000,104,0.12923243805680798,0.36713760811593166,0.1292324380567802,0.3671376081158527,0.16384539459725325,0.4654698710149239,-0.03461295654044525,-0.09833226289899216,-2.7755575615628914e-17,2.7783331191244542e-14,2.4917676429148106e-16,0.0,0.956,0.9926210726331989,0.360864225490043,0.006273382625889078,97,7,5.2258544713801314e-17
calibration,class_horizon,2026090506,0.7920000000000001,2000,137,0.19365655876865437,0.2445158570311292,0.19365655876860022,0.24451585703106082,0.1646911544273922,0.20794337680226285,0.02896540434126216,0.03657248022886636,0.0,5.415112802609201e-14,6.332282788401589e-16,0.0,0.9645,0.9996761396385919,0.23819897404167195,0.006316882989457115,133,4,1.1405806854547507e-16
calibration,class_horizon,2026090507,1.4080000000000006,2000,188,0.25136440097751067,0.17852585296698192,0.25136440097741475,0.1785258529669138,0.26957991332377895,0.19146300662200202,-0.01821551234626831,-0.0129371536550201,0.0,9.592326932761353e-14,9.418057696566895e-16,0.0,0.9765,0.9998598798406996,0.17214906993388532,0.006376783033096809,181,7,1.8648277366750676e-16
heldout,class_horizon,2026090600,0.24927499999999997,2000,95,0.19741924745015768,0.7919737135699838,0.19741924745013478,0.7919737135698919,0.21408637351675405,0.8588361188115698,-0.01666712606659637,-0.0668624052415861,0.0,2.2898349882893854e-14,2.4015078120553923e-16,0.0,0.9475,0.9987021072361214,0.7791387436679758,0.012834969902007543,90,5,4.0332320816460765e-17
heldout,empirical_horizon,2026090600,0.24927499999999997,2000,65,0.3485089901541107,1.3980904228426867,0.3485089901540818,1.398090422842571,0.3970437819188168,1.5927942309450078,-0.04853479176470606,-0.19470380810232102,-5.551115123125783e-17,2.886579864025407e-14,3.9963692077815693e-16,0.0,0.919,0.9955667379809509,1.3841646777396401,0.013925745103046429,60,5,7.025630077706069e-17
heldout,fixed_streak,2026090600,0.24927499999999997,2000,125,0.13887028825897182,0.5570967335632208,0.13887028825895303,0.5570967335631454,0.15769171604333843,0.6326014082572999,-0.0188214277843666,-0.07550467469407925,0.0,1.8790524691780774e-14,2.1850739533729735e-16,0.0,0.962,0.9990571985796705,0.5450063474926072,0.01209038607061323,120,5,4.9439619065339e-17
heldout,class_horizon,2026090601,0.4779000000000001,2000,130,0.2683502289407592,0.561519625320693,0.2683502289407186,0.561519625320608,0.27390917630950173,0.5731516558056113,-0.005558947368742545,-0.011632030484918485,0.0,4.063416270128073e-14,5.316791928597353e-16,0.0,0.963,0.9994390358431664,0.5483393057284711,0.013180319592222092,124,6,8.370040771588094e-17
heldout,empirical_horizon,2026090601,0.4779000000000001,2000,88,0.48169356843589417,1.0079379963086295,0.48169356843583433,1.0079379963085044,0.487676166601161,1.0204565109879908,-0.005982598165266757,-0.01251851467936128,-5.551115123125783e-17,5.984102102729594e-14,7.228375883960858e-16,0.0,0.945,0.9984164289691533,0.9934974428083369,0.014440553500293548,84,4,9.497611030973019e-17
