trajectory_index,seed,segments,anchor_work_over_H0,curvature_work_over_H0,total_work_over_H0,original_W_over_H0
1,2026090600,95,0.22820396199280657,0.5637697515771772,0.7919737135699838,0.7919737135699838
2,2026090601,130,0.17120089784617326,0.3903187274745197,0.5615196253206929,0.561519625320693
3,2026090602,165,0.12542147267713855,0.28215038774858825,0.4075718604257268,0.4075718604257268
4,2026090603,205,0.09950823520402295,0.22309636692935958,0.32260460213338255,0.32260460213338255
5,2026090604,96,0.21161363925661303,0.5591935372047766,0.7708071764613896,0.7708071764613897
6,2026090605,127,0.16462718205693028,0.38139608555623283,0.5460232676131631,0.5460232676131631
7,2026090606,162,0.12170332557098539,0.282061734430149,0.4037650600011344,0.4037650600011344
8,2026090607,200,0.09893201670899386,0.22427979689725136,0.32321181360624524,0.32321181360624524
9,2026090608,101,0.2113061283058971,0.5600660915695068,0.7713722198754039,0.7713722198754039
10,2026090609,127,0.1810602666278894,0.4047670162402317,0.5858272828681211,0.585827282868121
11,2026090610,162,0.12913593857936168,0.2793428523992879,0.4084787909786496,0.40847879097864964
12,2026090611,193,0.10334552243171459,0.22175647895059983,0.32510200138231443,0.32510200138231443
13,2026090612,102,0.2216194778107842,0.5736906724392147,0.7953101502499988,0.795310150249999
14,2026090613,125,0.17278367424164967,0.4005325262747705,0.5733162005164202,0.5733162005164201
15,2026090614,168,0.12086422974596522,0.2741642517161118,0.39502848146207703,0.3950284814620771
16,2026090615,195,0.10602479107176237,0.22151579208578734,0.3275405831575497,0.3275405831575497
