replicate,step,q_before,trust_before,cooldown_before,risk_probability,acceptance_probability,A,Y,Z,used_surrogate,detected_failure,N,V,D,log_M,capped_bound
0,1,0.35,0.8,0,0.35,0.8,1,0,0,1,0,1,0,0,0.0,1.0
1,1,0.35,0.8,0,0.35,0.8,0,0,0,0,0,0,0,0,0.0,0.0
2,1,0.35,0.8,0,0.35,0.8,1,1,0,1,0,1,1,0,0.051293294387550536,1.0
3,1,0.35,0.8,0,0.35,0.8,1,1,0,1,0,1,1,0,0.051293294387550536,1.0
0,2,0.36,0.802,0,0.36,0.802,1,0,1,1,0,2,0,0,0.0,2.0
1,2,0.354,0.802,0,0.354,0.802,1,0,0,1,0,1,0,0,0.0,1.0
2,2,0.36,0.802,0,0.36,0.802,1,0,1,1,0,2,1,0,0.051293294387550536,2.0
3,2,0.36,0.802,0,0.36,0.802,1,0,0,1,0,2,1,0,0.051293294387550536,2.0
0,3,0.38,0.8290000000000001,0,0.38,0.8290000000000001,1,1,0,1,0,3,1,0,0.051293294387550536,3.0
1,3,0.364,0.804,0,0.364,0.804,1,1,0,1,0,2,1,0,0.051293294387550536,2.0
2,3,0.38,0.8290000000000001,0,0.38,0.8290000000000001,1,0,0,1,0,3,1,0,0.051293294387550536,3.0
3,3,0.37,0.804,0,0.37,0.804,1,0,0,1,0,3,1,0,0.051293294387550536,3.0
0,4,0.39,0.8310000000000001,0,0.39,0.8310000000000001,1,0,0,1,0,4,1,0,0.051293294387550536,4.0
1,4,0.374,0.806,0,0.374,0.806,0,1,0,0,0,2,1,0,0.051293294387550536,2.0
2,4,0.39,0.8310000000000001,0,0.39,0.8310000000000001,1,0,1,1,0,4,1,0,0.051293294387550536,4.0
3,4,0.38,0.806,0,0.38,0.806,1,0,0,1,0,4,1,0,0.051293294387550536,4.0
0,5,0.4,0.8330000000000001,0,0.4,0.8330000000000001,1,1,0,1,0,5,2,0,0.10258658877510107,5.0
1,5,0.378,0.808,0,0.378,0.808,1,1,0,1,0,3,2,0,0.10258658877510107,3.0
2,5,0.41000000000000003,0.8580000000000001,0,0.41000000000000003,0.8580000000000001,0,0,0,0,0,4,1,0,0.051293294387550536,4.0
