path_index,label_row_index,time_fs,family_code,reference_record_index
0,0,0.0,0,0
0,1,0.125,1,0
0,2,0.25,1,1
0,3,0.375,1,2
0,4,0.5,1,3
0,5,0.75,1,4
0,6,1.0,1,5
0,7,1.5,1,6
0,8,2.0,1,7
0,9,3.0,1,8
0,10,4.0,1,9
1,0,0.0,0,0
1,1,0.125,1,10
1,2,0.25,1,11
1,3,0.375,1,12
1,4,0.5,1,13
1,5,0.75,1,14
1,6,1.0,1,15
1,7,1.5,1,16
1,8,2.0,1,17
1,9,3.0,1,18
1,10,4.0,1,19
2,0,0.0,0,9
2,1,0.125,1,20
2,2,0.25,1,21
2,3,0.375,1,22
2,4,0.5,1,23
2,5,0.625,2,2
2,6,0.75,1,24
2,7,0.875,2,3
2,8,1.0,1,25
2,9,1.5,1,26
2,10,2.0,1,27
2,11,3.0,1,28
2,12,4.0,1,29
3,0,0.0,0,9
3,1,0.125,1,30
3,2,0.25,1,31
3,3,0.375,1,32
3,4,0.5,1,33
3,5,0.75,1,34
3,6,1.0,1,35
3,7,1.5,1,36
3,8,2.0,1,37
3,9,3.0,1,38
3,10,4.0,1,39
