family_code,reference_record_index,conv_thr_Ry,estimated_final_scf_accuracy_Ry,reference_energy_eV,completed
0,0,1e-08,8.8e-09,-120972.91374785398,1
0,1,1e-08,7.4e-09,-120972.90626717183,1
0,2,1e-08,9.1e-09,-120972.91317750332,1
0,3,1e-08,9.9e-09,-120972.90798461845,1
0,4,1e-08,9.6e-09,-120972.89587827282,1
0,5,1e-08,6.1e-09,-120972.9100656092,1
0,6,1e-08,8e-09,-120972.91509304882,1
0,7,1e-08,6e-09,-120972.90604730383,1
0,8,1e-08,9.4e-09,-120972.89199167053,1
0,9,1e-08,9.8e-09,-120988.98006037992,1
0,10,1e-08,6.7e-09,-120988.95345444724,1
0,11,1e-08,9.1e-09,-120988.97013230574,1
0,12,1e-08,7.1e-09,-120988.98325023465,1
0,13,1e-08,8.6e-09,-120988.97971561167,1
0,14,1e-08,9.3e-09,-120988.96102397454,1
0,15,1e-08,7.6e-09,-120988.97391047064,1
0,16,1e-08,9.1e-09,-120988.97947206977,1
0,17,1e-08,8.1e-09,-120988.97214649252,1
1,0,1e-08,7.4e-09,-120972.89084892841,1
1,1,1e-08,7.8e-09,-120972.84134910424,1
1,2,1e-08,9.5e-09,-120972.7671476002,1
1,3,1e-08,8.1e-09,-120972.67065493691,1
1,4,1e-08,9.1e-09,-120972.422483831,1
1,5,1e-08,8.2e-09,-120972.12333491452,1
1,6,1e-08,6.8e-09,-120971.48744999402,1
1,7,1e-08,8.3e-09,-120970.96542649243,1
1,8,1e-08,9.9e-09,-120970.52113027415,1
1,9,1e-08,6.4e-09,-120970.23511275621,1
1,10,1e-08,8.4e-09,-120972.8838924736,1
1,11,1e-08,9.1e-09,-120972.82646651694,1
1,12,1e-08,7.6e-09,-120972.74277599443,1
1,13,1e-08,7.1e-09,-120972.63464202808,1
1,14,1e-08,9e-09,-120972.35451876848,1
1,15,1e-08,9.3e-09,-120972.0082684394,1
1,16,1e-08,8.6e-09,-120971.21827890912,1
1,17,1e-08,9.7e-09,-120970.45283717835,1
1,18,1e-08,9.5e-09,-120969.42112033443,1
1,19,1e-08,7.9e-09,-120969.07704256242,1
1,20,1e-08,8.9e-09,-120988.97479130319,1
1,21,1e-08,9.4e-09,-120988.91179177437,1
1,22,1e-08,6e-09,-120988.7925755629,1
1,23,1e-08,9.3e-09,-120988.61967686511,1
1,24,1e-08,9.6e-09,-120988.12755010517,1
1,25,1e-08,6.9e-09,-120987.47257503682,1
1,26,1e-08,8.4e-09,-120985.86682026296,1
1,27,1e-08,7.7e-09,-120984.21433265477,1
1,28,1e-08,7.4e-09,-120982.02808568232,1
1,29,1e-08,8.7e-09,-120981.7188338585,1
1,30,1e-08,8.7e-09,-120988.96511792757,1
1,31,1e-08,8.9e-09,-120988.90094422745,1
1,32,1e-08,6.9e-09,-120988.78797248483,1
1,33,1e-08,8.2e-09,-120988.62753945906,1
1,34,1e-08,8.9e-09,-120988.17404701683,1
1,35,1e-08,8.8e-09,-120987.56811802274,1
1,36,1e-08,6.2e-09,-120986.06217855847,1
1,37,1e-08,9.4e-09,-120984.48736734831,1
1,38,1e-08,8e-09,-120982.40020859722,1
1,39,1e-08,9.8e-09,-120982.10099069987,1
2,0,1e-10,8.4e-11,-120988.98006037992,1
2,1,1e-10,9.4e-11,-120987.47257503682,1
2,2,1e-08,7.6e-09,-120988.39656499671,1
2,3,1e-08,8.6e-09,-120987.81767255551,1
2,4,1e-08,8.4e-09,-120987.47474555303,1
2,5,1e-08,8.1e-09,-120972.12528393003,1
