path_index,states,accepted,violations,risk,audit_detections,online_requests,audit_requests,new_reference_attempts_completed,sequential_upper,max_Href_drift_meV,end_Href_drift_meV,max_work_balance_residual_meV,paired_geometry_states,OH_bond_RMSE_A,HOH_angle_RMSE_degrees,max_OH_bond_difference_A,max_HOH_angle_difference_degrees,training_updates
0,50,0,0,,0,50,0,49,,1.4979366637817293,1.2018975180581037,1.4979366637817293,50,0.0,0.0,0.0,0.0,0
1,50,37,0,0.0,0,17,4,49,1.0,5.394001995682629,4.349569992882607,1.5778787705709092,50,0.0018816314930291916,0.1919067404135975,0.004768201348459455,0.3440844730933179,0
2,50,35,0,0.0,0,19,4,49,1.0,5.528313809008978,5.528313809008978,1.5911345156853995,50,0.000824141848009981,0.19444288642642052,0.0019068254947782748,0.3396672238079077,0
3,50,19,0,0.0,0,34,3,49,1.0,2.4559805960961967,0.13737905192101607,1.4950242446715898,50,0.0007597825711443789,0.11206320493684632,0.0016686573317478137,0.16961862887913526,0
4,50,0,0,,0,50,0,49,,1.3522579424716241,0.8496828722854843,1.3522579424716241,50,0.0,0.0,0.0,0.0,0
5,50,37,1,0.02702702702702703,0,21,8,49,1.0,5.929594241024461,1.5070460108290717,1.3591381668052889,50,0.003020917828448628,0.20776307696391677,0.00844126472917961,0.37610273221130797,0
6,50,14,0,0.0,0,38,2,49,1.0,2.919368696439051,1.3326622770364338,1.3437831738192823,50,0.0005204230183894696,0.068776151509895,0.002106793790506045,0.13081497029583034,0
7,50,2,0,0.0,0,49,1,49,1.0,2.5669230331004655,2.077542772894958,1.3630501621910582,50,0.0001541680033370904,0.02857355539940127,0.0004734592848740782,0.044497398950028355,0
8,50,0,0,,0,50,0,49,,0.4659052624447213,0.2715571754379198,0.4659052624447213,50,0.0,0.0,0.0,0.0,0
9,50,37,0,0.0,0,17,4,49,1.0,3.809169459145778,2.959494007882313,0.5215695654653767,50,0.0010989587391816017,0.1873656921254022,0.0029575382941251505,0.3362933064545359,0
10,50,46,0,0.0,0,9,5,49,1.0,3.7015917241660645,2.75560009322362,0.5212562818432878,50,0.0012527270110269432,0.22753355332869415,0.0034080448240870753,0.32659727094723223,0
11,50,30,0,0.0,0,22,2,49,1.0,2.3082928260009794,1.4304647015705996,0.4953477622496752,50,0.0006906919700693699,0.1521765997044629,0.0017634657706798729,0.2139172507670679,0
12,50,0,0,,0,50,0,49,,1.3358371120375523,0.6444339765039331,1.3358371120375523,50,0.0,0.0,0.0,0.0,0
13,50,37,0,0.0,0,16,3,49,1.0,5.478885751017515,0.232517551012279,1.2539422319883635,50,0.0008129891695505516,0.24507000138049126,0.002152851153524593,0.441614173511681,0
14,50,38,0,0.0,0,15,3,49,1.0,5.488199962201179,-4.138532775868953,1.1828840757343204,50,0.0012340461327449586,0.23826662225447462,0.003324055466911724,0.4850295925615029,0
15,50,15,0,0.0,0,36,1,49,1.0,1.8120266499863646,-0.6155222740744648,1.27190826248861,50,0.00038631485461288346,0.06841825540971262,0.0010648105298195487,0.14036094901202034,0
16,50,0,0,,0,50,0,49,,3.0692499167344067,2.1997414787620073,3.0692499167344067,50,0.0,0.0,0.0,0.0,0
17,50,37,0,0.0,0,17,4,49,1.0,7.921327739495609,6.483926187684119,3.1302247863441774,50,0.0019687198380248464,0.1445428764048126,0.0055929191561112646,0.258541560655587,0
18,50,18,0,0.0,0,35,3,49,1.0,3.7821968185198784,3.7821968185198784,3.0074865577685497,50,0.0008367369641887664,0.09452746160455229,0.002079341896474074,0.17429910039361118,0
19,50,7,0,0.0,0,45,2,49,1.0,3.005261050475383,1.77237141497244,3.005261050475383,50,0.0003320064633059868,0.04235964045167631,0.0006885786515760106,0.076148176337,0
20,50,0,0,,0,50,0,49,,3.0553920614693197,2.4029326832533116,3.0553920614693197,50,0.0,0.0,0.0,0.0,0
21,50,37,8,0.21621621621621623,1,21,8,49,1.0,8.882305574843485,4.437413329924311,2.981464783765933,50,0.0038182582583300454,0.20874244388799112,0.01033211195946171,0.33709847004313076,0
22,50,7,0,0.0,0,45,2,49,1.0,2.9147667037250358,1.5811149214641773,3.0224401272547214,50,0.000400781543402495,0.027457316412137396,0.0016223853217443018,0.06787742376809547,0
23,50,0,0,,0,50,0,49,,3.0553920614693197,2.4029326832533116,3.0553920614693197,50,0.0,0.0,0.0,0.0,0
24,50,0,0,,0,50,0,49,,0.938307469823485,0.6107734170655021,0.938307469823485,50,0.0,0.0,0.0,0.0,0
25,50,37,0,0.0,0,17,4,49,1.0,4.9412437060709635,3.8799428716629336,1.0073573456739742,50,0.001264425819043848,0.13739270676542512,0.003348203251819837,0.2578011163266183,0
26,50,38,0,0.0,0,17,5,49,1.0,5.656086313138076,0.410355074563995,0.9256820274513052,50,0.0017120491336578393,0.14824576540902248,0.004755651716359277,0.2416817060260712,0
27,50,20,0,0.0,0,32,2,49,1.0,2.968164969843201,-1.0561956723904586,0.938307469823485,50,0.0006739748511757002,0.09957733235411911,0.001783375839139567,0.17872351363573102,0
28,50,0,0,,0,50,0,49,,2.710118840695941,1.7924784751812695,2.710118840695941,50,0.0,0.0,0.0,0.0,0
29,50,37,1,0.02702702702702703,0,16,3,49,1.0,7.048119831324584,2.266654935738188,2.7391902668258026,50,0.0007501529836740501,0.24283515431781338,0.0020347568849545805,0.4275960785321047,0
30,50,26,0,0.0,0,27,3,49,1.0,5.202719106819131,-2.729773996179574,2.654611174736557,50,0.000828005448534601,0.18168255699340596,0.0022934324664383166,0.35889339442060475,0
31,50,7,0,0.0,0,44,1,49,1.0,3.133014871764317,-0.9604015481272654,2.6836386297646437,50,0.00030028846057639723,0.03081728651640252,0.0009923115148315897,0.060576991912242306,0
32,50,0,0,,0,50,0,49,,6.271135871884326,2.8336907062112004,6.271135871884326,50,0.0,0.0,0.0,0.0,0
