path_index,policy,seed,initial_record_index,kinetic_temperature_K,velocity_factor
0,reference,2026090541,0,300,1.0
1,periodic,2026090541,0,300,1.0
2,calibrated,2026090541,0,300,1.0
3,horizon,2026090541,0,300,1.0
4,reference,2026090542,151,300,1.0
5,periodic,2026090542,151,300,1.0
6,calibrated,2026090542,151,300,1.0
7,horizon,2026090542,151,300,1.0
8,reference,2026090543,0,300,1.0
9,periodic,2026090543,0,300,1.0
10,calibrated,2026090543,0,300,1.0
11,horizon,2026090543,0,300,1.0
12,reference,2026090544,151,300,1.0
13,periodic,2026090544,151,300,1.0
14,calibrated,2026090544,151,300,1.0
15,horizon,2026090544,151,300,1.0
16,reference,2026090541,0,600,1.4142135623730951
17,periodic,2026090541,0,600,1.4142135623730951
18,calibrated,2026090541,0,600,1.4142135623730951
19,horizon,2026090541,0,600,1.4142135623730951
20,reference,2026090542,151,600,1.4142135623730951
21,periodic,2026090542,151,600,1.4142135623730951
22,calibrated,2026090542,151,600,1.4142135623730951
23,horizon,2026090542,151,600,1.4142135623730951
24,reference,2026090543,0,600,1.4142135623730951
25,periodic,2026090543,0,600,1.4142135623730951
26,calibrated,2026090543,0,600,1.4142135623730951
27,horizon,2026090543,0,600,1.4142135623730951
28,reference,2026090544,151,600,1.4142135623730951
29,periodic,2026090544,151,600,1.4142135623730951
30,calibrated,2026090544,151,600,1.4142135623730951
31,horizon,2026090544,151,600,1.4142135623730951
32,reference,2026090541,0,1200,2.0
33,periodic,2026090541,0,1200,2.0
34,calibrated,2026090541,0,1200,2.0
35,horizon,2026090541,0,1200,2.0
36,reference,2026090542,151,1200,2.0
37,periodic,2026090542,151,1200,2.0
38,calibrated,2026090542,151,1200,2.0
39,horizon,2026090542,151,1200,2.0
40,reference,2026090543,0,1200,2.0
41,periodic,2026090543,0,1200,2.0
42,calibrated,2026090543,0,1200,2.0
43,horizon,2026090543,0,1200,2.0
44,reference,2026090544,151,1200,2.0
45,periodic,2026090544,151,1200,2.0
46,calibrated,2026090544,151,1200,2.0
47,horizon,2026090544,151,1200,2.0
