record_index,accepted,force_error_eV_A,spread_eV_A,accepted_violation,updated_after_record,qhat,qhat_state,bound_eV_A,bound_eV_A_state
0,0,0.3051696734370746,0.004627918441169693,0,0,0.0,2,0.0,2
1,1,0.3051696734370746,0.004627918441169693,1,0,0.0,2,0.0,2
2,1,0.318317492037104,0.004753275461691657,1,0,0.0,2,0.0,2
3,1,0.329118901447396,0.00492631717753047,1,0,0.0,2,0.0,2
4,0,0.33703517714577624,0.005106245176851314,0,0,0.0,2,0.0,2
5,1,0.342720732921356,0.005246367318423156,1,0,0.0,2,0.0,2
6,1,0.347108204175916,0.005311054840458751,1,0,0.0,2,0.0,2
7,1,0.35072275713696693,0.005284231200026839,1,0,0.0,2,0.0,2
8,0,0.35347617701596323,0.005283062474600013,0,0,0.0,2,0.0,2
9,1,0.35465508031873105,0.005199137169184639,1,0,0.0,2,0.0,2
10,1,0.352999948601075,0.00504636578386222,1,0,0.0,2,0.0,2
11,1,0.3472257229766032,0.004864055236250213,1,0,0.0,2,0.0,2
12,0,0.3371125847635771,0.004698479200388483,0,0,0.0,2,0.0,2
13,1,0.3321498042285062,0.004586026229859911,1,0,0.0,2,0.0,2
14,1,0.33430738243385666,0.004536607349949211,1,0,0.0,2,0.0,2
15,1,0.33448361792984993,0.00453182430121865,1,0,0.0,2,0.0,2
16,0,0.33311495320946927,0.004534690790778978,0,0,0.0,2,0.0,2
17,1,0.33108445910255957,0.004529543863342689,1,0,0.0,2,0.0,2
18,1,0.3269303319479689,0.004545166574298091,1,0,0.0,2,0.0,2
19,1,0.325728894100228,0.004606359819157518,1,0,0.0,2,0.0,2
20,0,0.33656859588697496,0.00472134380643218,0,0,0.0,2,0.0,2
21,1,0.34365666239254244,0.004872321594411694,1,0,0.0,2,0.0,2
22,1,0.3461507016280688,0.00502314439886431,1,0,0.0,2,0.0,2
23,1,0.3451532764253744,0.005162772774436429,1,0,0.0,2,0.0,2
24,0,0.3423341152951356,0.005332773324883186,0,0,0.0,2,0.0,2
25,1,0.3388611390419216,0.005420112354311187,1,0,0.0,2,0.0,2
26,1,0.335181159398466,0.005405132230377508,1,0,0.0,2,0.0,2
27,1,0.33111643656023565,0.005292511968125892,1,0,0.0,2,0.0,2
28,0,0.32592073490037493,0.005110981377796713,0,1,0.0,2,0.0,2
29,1,0.1847797281454634,0.013793360884961926,0,0,0.0,2,0.0,2
30,1,0.17896516693602027,0.014085631835007627,0,0,0.0,2,0.0,2
31,1,0.17080022297133216,0.014359828491942134,0,0,0.0,2,0.0,2
32,0,0.16240828992009293,0.014648292535135762,0,0,0.0,2,0.0,2
33,1,0.1567829375296013,0.014969424689825293,0,0,0.0,2,0.0,2
34,1,0.1561609271101314,0.015329499928665682,0,0,0.0,2,0.0,2
35,1,0.1609790773257213,0.015724107793487038,0,0,0.0,2,0.0,2
36,0,0.16972616836671414,0.01613820826958714,0,0,0.0,2,0.0,2
37,1,0.17946881521919267,0.016545281066933627,0,0,0.0,2,0.0,2
38,1,0.18710444160980047,0.016905486940339106,0,0,0.0,2,0.0,2
39,1,0.1909347776106041,0.017165191575558073,0,0,0.0,2,0.0,2
40,0,0.19139464437825066,0.017262377867697274,0,0,0.0,2,0.0,2
41,1,0.1902248002449778,0.017138650733158525,0,0,0.0,2,0.0,2
42,1,0.18903684841755425,0.01675270197388986,0,0,0.0,2,0.0,2
43,1,0.18860254322455663,0.016089637615968787,0,0,0.0,2,0.0,2
44,0,0.18888667711167897,0.015165018764106203,0,0,0.0,2,0.0,2
45,1,0.18914804047807526,0.014025668764046796,0,0,0.0,2,0.0,2
46,1,0.18794141415040652,0.012748037053948573,0,0,0.0,2,0.0,2
47,1,0.1835133967297585,0.011681003040713294,0,0,0.0,2,0.0,2
48,0,0.1749839826707006,0.01128977075263058,0,0,0.0,2,0.0,2
49,1,0.16364866012215196,0.010975305839130605,0,0,0.0,2,0.0,2
50,1,0.15838730458365805,0.010919840966361232,0,0,0.0,2,0.0,2
51,1,0.166872443676133,0.011128672435646312,0,0,0.0,2,0.0,2
52,0,0.17528731267330874,0.011473590937058006,0,0,0.0,2,0.0,2
53,1,0.1826837399913652,0.011923667618157018,0,0,0.0,2,0.0,2
54,1,0.18857665929655662,0.012438902594929597,0,0,0.0,2,0.0,2
55,1,0.19309591667755863,0.012975944270551189,0,0,0.0,2,0.0,2
56,0,0.19700137831253506,0.01349117481998049,0,0,0.0,2,0.0,2
57,1,0.20147915665358213,0.01394021347515837,0,0,0.0,2,0.0,2
58,1,0.2054562947078874,0.014278372005169683,0,0,0.0,2,0.0,2
59,1,0.20813894726195925,0.014573188480643753,0,0,0.0,2,0.0,2
60,0,0.20954424021335144,0.014846960420717828,0,1,0.0,2,0.0,2
61,1,0.15127371052100036,0.009947982951886205,0,0,0.0,2,0.0,2
62,1,0.14604607008869802,0.00971168189707518,0,0,0.0,2,0.0,2
63,1,0.13653424692821117,0.009218397773815312,0,0,0.0,2,0.0,2
64,0,0.1235884467478026,0.00851773899311222,0,0,0.0,2,0.0,2
65,1,0.10870576160722027,0.007687466580799699,0,0,0.0,2,0.0,2
66,1,0.09345825872792786,0.0068264799358520485,0,0,0.0,2,0.0,2
67,1,0.07882662273855827,0.006038834692328155,0,0,0.0,2,0.0,2
68,0,0.06525788903941838,0.005403583517632805,0,0,0.0,2,0.0,2
69,1,0.053082226224332923,0.0050688467065265275,0,0,0.0,2,0.0,2
70,1,0.04698926029528009,0.004896843106098004,0,0,0.0,2,0.0,2
71,1,0.05176754231960371,0.005170610365822578,0,0,0.0,2,0.0,2
72,0,0.05924239981893173,0.005863799931182525,0,0,0.0,2,0.0,2
73,1,0.06654533912514199,0.006876555585304209,0,0,0.0,2,0.0,2
74,1,0.0707372114236098,0.008109079053854018,0,0,0.0,2,0.0,2
75,1,0.07079144007783424,0.009399557656167786,0,0,0.0,2,0.0,2
76,0,0.06822449102736995,0.010587493373410061,0,0,0.0,2,0.0,2
77,1,0.06547070094748449,0.011543785372230428,0,0,0.0,2,0.0,2
78,1,0.06414911744282183,0.012179791745092488,0,0,0.0,2,0.0,2
79,1,0.06474162169298438,0.012447963548724437,0,0,0.0,2,0.0,2
80,0,0.06697906556057794,0.012339957070734164,0,0,0.0,2,0.0,2
81,1,0.07003104207701268,0.01188537511007743,0,0,0.0,2,0.0,2
82,1,0.07245005429279258,0.011151112131375426,0,0,0.0,2,0.0,2
83,1,0.07234593583392697,0.010237602610868798,0,0,0.0,2,0.0,2
84,0,0.06839836892835117,0.00926688848306468,0,0,0.0,2,0.0,2
85,1,0.0613632227981832,0.0083582742668362,0,0,0.0,2,0.0,2
86,1,0.05409057378721159,0.007593285954576484,0,0,0.0,2,0.0,2
87,1,0.0495293348142666,0.006988664933058687,0,0,0.0,2,0.0,2
88,0,0.04912531139344254,0.006503939176220495,0,0,0.0,2,0.0,2
89,1,0.05275629707077149,0.006081590372142576,0,0,0.0,2,0.0,2
90,1,0.059143257178586005,0.005685521525939198,0,0,0.0,2,0.0,2
91,1,0.06616328355544512,0.005968056473107969,0,0,0.0,2,0.0,2
92,0,0.07159276053985018,0.006623972858298596,0,1,0.0,2,0.0,2
93,1,0.038093893455528306,0.009766120096294748,0,0,0.0,2,0.0,2
94,1,0.05469120860263396,0.009677817780568455,0,0,0.0,2,0.0,2
95,1,0.07018698295157424,0.009693543301424771,0,0,0.0,2,0.0,2
96,0,0.08304960841047587,0.00975541831186648,0,0,0.0,2,0.0,2
97,1,0.09114877678441917,0.009842909223234634,0,0,0.0,2,0.0,2
98,1,0.09448062703842171,0.009965112271935092,0,0,0.0,2,0.0,2
99,1,0.0937898227760326,0.010138143894085952,0,0,0.0,2,0.0,2
100,0,0.09073370678011623,0.010374964392157253,0,0,0.0,2,0.0,2
101,1,0.08749460491487561,0.01067073333055149,0,0,0.0,2,0.0,2
102,1,0.08574263487390814,0.011036111501528107,0,0,0.0,2,0.0,2
103,1,0.08495506864133193,0.011525060096848607,0,0,0.0,2,0.0,2
104,0,0.08342763433924867,0.011924921664147879,0,0,0.0,2,0.0,2
105,1,0.08068388210526292,0.012120558697983098,0,0,0.0,2,0.0,2
106,1,0.07664962530475955,0.012048170967535111,0,0,0.0,2,0.0,2
107,1,0.07170783515537124,0.011717396949405167,0,0,0.0,2,0.0,2
108,0,0.06666588410717358,0.011210095334751593,0,0,0.0,2,0.0,2
109,1,0.06238205103514695,0.010653853203028274,0,0,0.0,2,0.0,2
110,1,0.05908576320592387,0.010170785872466233,0,0,0.0,2,0.0,2
111,1,0.05862617543268143,0.009894554914418527,0,0,0.0,2,0.0,2
112,0,0.05838971096110658,0.009705095137769204,0,0,0.0,2,0.0,2
113,1,0.05573581629277956,0.009570562147339118,0,0,0.0,2,0.0,2
114,1,0.04903701821680956,0.009474449543337529,0,0,0.0,2,0.0,2
115,1,0.03761277952639799,0.009406517825087463,0,0,0.0,2,0.0,2
116,0,0.027587943910124302,0.009368187612462728,0,0,0.0,2,0.0,2
117,1,0.02875650903135814,0.009374582717481898,0,0,0.0,2,0.0,2
118,1,0.03150172482730147,0.009450452428584145,0,0,0.0,2,0.0,2
119,1,0.04299058003103537,0.009612723009831592,0,0,0.0,2,0.0,2
120,0,0.05147515244598987,0.009893371012641733,0,0,0.0,2,0.0,2
